z	mrd_sf	mrd_df	mr_df
0.0100 	 25.6456 	 25.3916 	 2.7402 
0.0300 	 26.4800 	 25.7087 	 24.5035 
0.0500 	 27.3896 	 26.0853 	 67.7523 
0.0700 	 28.3733 	 26.5171 	 132.3934 
0.0900 	 29.4089 	 26.9807 	 218.3328 
0.1100 	 30.4366 	 27.4204 	 324.9086 
0.1300 	 31.4553 	 27.8366 	 451.4567 
0.1500 	 32.5483 	 28.3029 	 598.7338 
0.1700 	 33.6703 	 28.7781 	 765.9262 
0.1900 	 34.9566 	 29.3753 	 956.3780 
0.2100 	 36.1819 	 29.9024 	 1164.4143 
0.2300 	 37.4319 	 30.4324 	 1391.5358 
0.2500 	 38.7959 	 31.0367 	 1641.0322 
0.2700 	 40.0924 	 31.5688 	 1905.1681 
0.2900 	 41.4862 	 32.1598 	 2190.6479 
0.3100 	 42.8093 	 32.6789 	 2488.3076 
0.3300 	 44.2210 	 33.2489 	 2806.1395 
0.3500 	 45.6345 	 33.8033 	 3138.5980 
0.3700 	 47.1166 	 34.3917 	 3489.6453 
0.3900 	 48.6464 	 34.9974 	 3857.6858 
0.4100 	 50.1369 	 35.5581 	 4235.0892 
0.4300 	 51.7204 	 36.1681 	 4632.0709 
0.4500 	 53.3622 	 36.8015 	 5045.7453 
0.4700 	 54.9191 	 37.3599 	 5461.6912 
0.4900 	 56.6348 	 38.0099 	 5903.0798 
0.5100 	 58.3288 	 38.6283 	 6351.5021 
0.5300 	 60.2249 	 39.3627 	 6831.0385 
0.5500 	 61.9589 	 39.9735 	 7300.4863 
0.5700 	 63.7340 	 40.5949 	 7781.5443 
0.5900 	 65.6859 	 41.3119 	 8290.9305 
0.6100 	 67.5271 	 41.9423 	 8792.4118 
0.6300 	 69.6631 	 42.7381 	 9338.1257 
0.6500 	 71.6586 	 43.4294 	 9870.5018 
0.6700 	 73.7267 	 44.1477 	 10417.2166 
0.6900 	 75.6899 	 44.7869 	 10952.4592 
0.7100 	 77.8994 	 45.5552 	 11526.3221 
0.7300 	 80.1467 	 46.3275 	 12108.8340 
0.7500 	 82.3854 	 47.0774 	 12692.3768 
0.7700 	 84.5738 	 47.7818 	 13269.4918 
0.7900 	 87.1211 	 48.6710 	 13904.3500 
0.8100 	 89.4183 	 49.4024 	 14500.2445 
0.8300 	 91.6866 	 50.1019 	 15090.9326 
0.8500 	 94.3422 	 50.9958 	 15745.0580 
0.8700 	 96.7173 	 51.7205 	 16351.5951 
0.8900 	 99.4520 	 52.6201 	 17017.6315 
0.9100 	 102.0224 	 53.4149 	 17654.0298 
0.9300 	 104.7225 	 54.2604 	 18310.6364 
0.9500 	 107.6551 	 55.2077 	 19005.6720 
0.9700 	 110.3247 	 56.0024 	 19651.4324 
0.9900 	 112.9986 	 56.7832 	 20294.1109 
1.0100 	 115.9997 	 57.7113 	 20991.6958 
1.0300 	 118.8943 	 58.5686 	 21665.9334 
1.0500 	 121.9298 	 59.4780 	 22361.3162 
1.0700 	 124.8410 	 60.3097 	 23028.8922 
1.0900 	 127.6826 	 61.0921 	 23677.9951 
1.1100 	 130.9976 	 62.0842 	 24409.2468 
1.1300 	 133.8716 	 62.8505 	 25052.3056 
1.1500 	 136.9489 	 63.6972 	 25726.8329 
1.1700 	 140.1456 	 64.5832 	 26417.0953 
1.1900 	 143.4010 	 65.4799 	 27111.5291 
1.2100 	 146.3937 	 66.2415 	 27748.9719 
1.2300 	 149.4991 	 67.0399 	 28400.1167 
1.2500 	 152.8190 	 67.9196 	 29084.2555 
1.2700 	 155.9029 	 68.6797 	 29715.4535 
1.2900 	 158.9698 	 69.4191 	 30335.1334 
1.3100 	 162.1795 	 70.2076 	 30973.6553 
1.3300 	 165.4806 	 71.0217 	 31621.0574 
1.3500 	 168.5175 	 71.7096 	 32209.2692 
1.3700 	 171.8046 	 72.4914 	 32836.4413 
1.3900 	 174.9467 	 73.1995 	 33426.9532 
1.4100 	 177.9045 	 73.8193 	 33973.2295 
1.4300 	 181.4162 	 74.6569 	 34616.1350 
1.4500 	 184.0913 	 75.1393 	 35090.2792 
1.4700 	 187.4269 	 75.8813 	 35681.1684 
1.4900 	 190.4356 	 76.4802 	 36200.5898 
1.5100 	 193.3989 	 77.0514 	 36702.2218 
1.5300 	 196.4922 	 77.6649 	 37219.3430 
1.5500 	 199.4350 	 78.2098 	 37698.8045 
1.5700 	 202.5503 	 78.8133 	 38201.7130 
1.5900 	 205.4249 	 79.3146 	 38650.1732 
1.6100 	 208.4175 	 79.8534 	 39111.8458 
1.6300 	 211.2176 	 80.3109 	 39528.5243 
1.6500 	 214.1387 	 80.8070 	 39959.0427 
1.6700 	 216.8720 	 81.2255 	 40345.8570 
1.6900 	 219.8871 	 81.7424 	 40776.4305 
1.7100 	 222.4746 	 82.0940 	 41119.2237 
1.7300 	 225.2988 	 82.5270 	 41497.4750 
1.7500 	 227.6498 	 82.7818 	 41780.5647 
1.7700 	 230.2257 	 83.1140 	 42097.1477 
1.7900 	 232.9090 	 83.4799 	 42425.5098 
1.8100 	 235.4497 	 83.7899 	 42720.1476 
1.8300 	 237.7209 	 84.0003 	 42958.5687 
1.8500 	 239.9316 	 84.1865 	 43179.0645 
1.8700 	 242.4943 	 84.4928 	 43455.8575 
1.8900 	 244.5869 	 84.6321 	 43641.5440 
1.9100 	 246.8382 	 84.8241 	 43849.0485 
1.9300 	 248.9947 	 84.9811 	 44033.3096 
1.9500 	 250.9823 	 85.0788 	 44181.6255 
1.9700 	 252.8349 	 85.1296 	 44300.4457 
1.9900 	 254.8902 	 85.2476 	 44449.1744 
2.0100 	 256.3553 	 85.1679 	 44489.7861 
2.0300 	 258.5405 	 85.3269 	 44650.1951 
2.0500 	 259.9181 	 85.2191 	 44666.1832 
2.0700 	 261.8357 	 85.2885 	 44770.3404 
2.0900 	 263.4608 	 85.2624 	 44819.7852 
2.1100 	 264.7104 	 85.1159 	 44801.3323 
2.1300 	 266.2512 	 85.0643 	 44828.3604 
2.1500 	 267.9859 	 85.0749 	 44883.9186 
2.1700 	 269.0499 	 84.8738 	 44823.5488 
2.1900 	 269.9334 	 84.6186 	 44730.4044 
2.2100 	 271.3411 	 84.5299 	 44721.1997 
2.2300 	 272.8605 	 84.4769 	 44727.0382 
2.2500 	 273.4925 	 84.1515 	 44584.8389 
2.2700 	 274.7377 	 84.0177 	 44540.3724 
2.2900 	 275.3069 	 83.6799 	 44384.2452 
2.3100 	 276.9542 	 83.6720 	 44399.5862 
2.3300 	 277.0603 	 83.2013 	 44166.0271 
2.3500 	 278.4879 	 83.1307 	 44141.5865 
2.3700 	 279.1462 	 82.8327 	 43993.2466 
2.3900 	 279.6219 	 82.4843 	 43815.1353 
2.4100 	 280.1767 	 82.1633 	 43648.5861 
2.4300 	 281.5598 	 82.0874 	 43609.4896 
2.4500 	 281.1969 	 81.5063 	 43299.2985 
2.4700 	 282.0395 	 81.2794 	 43174.6260 
2.4900 	 282.6653 	 80.9929 	 43015.8115 
2.5100 	 283.0632 	 80.6448 	 42821.8615 
2.5300 	 283.6251 	 80.3470 	 42652.3578 
2.5500 	 283.5549 	 79.8746 	 42387.9387 
2.5700 	 283.8680 	 79.5148 	 42181.2097 
2.5900 	 284.2602 	 79.1811 	 41986.2938 
2.6100 	 284.3202 	 78.7591 	 41742.6238 
2.6300 	 284.6879 	 78.4264 	 41544.5208 
2.6500 	 284.9342 	 78.0642 	 41328.9758 
2.6700 	 284.7574 	 77.5906 	 41052.8755 
2.6900 	 285.0347 	 77.2452 	 40843.0399 
2.7100 	 284.8258 	 76.7724 	 40564.4034 
2.7300 	 285.1356 	 76.4439 	 40360.5400 
2.7500 	 285.0136 	 76.0036 	 40096.3887 
2.7700 	 284.8978 	 75.5697 	 39834.3487 
2.7900 	 285.2413 	 75.2615 	 39637.4009 
2.8100 	 285.2320 	 74.8640 	 39392.2421 
2.8300 	 284.6339 	 74.3170 	 39067.4031 
2.8500 	 284.6327 	 73.9306 	 38826.1321 
2.8700 	 284.3958 	 73.4873 	 38554.0806 
2.8900 	 284.5027 	 73.1369 	 38329.9362 
2.9100 	 284.4958 	 72.7611 	 38091.5834 
2.9300 	 284.1025 	 72.2907 	 37803.0550 
2.9500 	 284.1276 	 71.9310 	 37571.7275 
2.9700 	 283.8084 	 71.4883 	 37296.3893 
2.9900 	 283.7443 	 71.1139 	 37056.1476 
3.0100 	 283.3116 	 70.6513 	 36769.4501 
3.0300 	 283.0792 	 70.2430 	 36510.5846 
3.0500 	 283.4134 	 69.9786 	 36326.0235 
3.0700 	 282.8805 	 69.5038 	 36031.8007 
3.0900 	 282.5457 	 69.0821 	 35764.8084 
3.1100 	 282.0879 	 68.6345 	 35484.2256 
3.1300 	 281.9267 	 68.2631 	 35242.7602 
3.1500 	 281.6045 	 67.8565 	 34982.8918 
3.1700 	 281.4266 	 67.4884 	 34742.6773 
3.1900 	 280.7899 	 67.0143 	 34447.8126 
3.2100 	 281.0433 	 66.7561 	 34263.7963 
